System,PC1,PC2
WT,-2.801260,7.068930
WT,-3.290530,7.025970
WT,-3.141940,8.204230
WT,-3.573230,8.038100
WT,-3.350650,7.400620
WT,-3.546080,6.670190
WT,-3.379040,8.081140
WT,-3.415100,7.696220
WT,-3.514600,6.639980
WT,-3.952730,5.529120
WT,-4.061680,6.788980
WT,-3.933280,6.995870
WT,-3.798760,6.688500
WT,-2.969730,6.821150
WT,-4.124350,6.156170
WT,-2.460930,8.870890
WT,-2.574150,8.746430
WT,-1.908050,8.025520
WT,-3.181310,6.926700
WT,-4.398790,4.928290
WT,-3.081080,5.443380
WT,-2.661590,6.102280
WT,-3.157830,6.569160
WT,-3.858060,5.474340
WT,-2.790530,6.229570
WT,-3.334780,5.552570
WT,-4.027450,5.406490
WT,-3.661530,6.313000
WT,-3.391210,5.438160
WT,-3.062770,5.091840
WT,-4.086970,2.982730
WT,-3.326780,4.214790
WT,-3.724270,4.503550
WT,-4.140250,5.730010
WT,-4.663150,4.765100
WT,-3.846350,6.162930
WT,-4.591790,5.227160
WT,-3.976400,4.819930
WT,-4.093810,4.184770
WT,-4.697040,4.507700
WT,-4.369280,1.658850
WT,-4.896900,0.775250
WT,-3.265360,1.027280
WT,-2.528440,3.505900
WT,-3.307810,3.698830
WT,-2.352100,2.840600
WT,-2.344780,3.431500
WT,-3.718270,2.784510
WT,-4.029300,2.619220
WT,-3.560010,1.798870
WT,-4.779140,1.143460
WT,-3.884310,0.231140
WT,-3.466520,1.537070
WT,-3.052710,2.297890
WT,-2.841670,2.238730
