System,TIC1,TIC2
WT,1.194577,0.760143
WT,1.177191,0.492914
WT,1.347264,0.668190
WT,0.950695,0.784662
WT,0.886373,1.066172
WT,1.130557,1.001861
WT,1.227200,0.943985
WT,0.959076,1.053537
WT,0.946267,0.892125
WT,1.027838,0.753905
WT,0.962859,0.792626
WT,0.787281,0.981978
WT,0.949681,0.748044
WT,0.759429,0.809983
WT,0.984611,0.786014
WT,1.010360,0.684744
WT,0.948843,0.699766
WT,0.874914,0.895256
WT,0.781340,0.835400
WT,1.069334,0.714471
WT,0.882479,0.739820
WT,0.966926,1.047271
WT,1.226344,0.853696
WT,1.168531,0.893170
WT,1.166410,1.109404
WT,1.148993,0.899663
WT,1.242519,0.531697
WT,1.279841,0.729143
WT,1.246131,0.847456
WT,1.036868,0.749056
WT,1.164769,0.481792
WT,1.210329,0.779267
WT,1.129994,0.481485
WT,0.965807,0.617504
WT,1.197480,0.678398
WT,0.878393,0.632661
WT,1.207550,0.522774
WT,1.043183,0.659768
WT,1.154774,0.679026
WT,1.273429,0.699347
WT,1.170639,0.503062
WT,1.070509,0.398114
WT,1.038945,0.570069
WT,1.100159,0.546776
WT,1.095109,0.531296
WT,1.248546,0.337904
WT,1.219428,0.246984
WT,1.030952,0.170606
WT,0.969252,0.243645
WT,1.060994,0.282262
WT,1.199545,0.396164
WT,1.216225,0.285767
WT,1.177237,0.344249
WT,1.180999,0.279238
WT,1.081565,0.499461
WT,1.062281,0.291497
WT,1.068255,0.214833
WT,1.203252,0.414001
WT,1.281711,0.389173
WT,1.022339,0.503827
WT,1.132890,0.546947
WT,1.140480,0.535891
WT,0.986064,0.524173
WT,1.173891,0.281597
WT,0.996576,0.390875
WT,1.037519,0.717885
WT,1.014137,1.013907
WT,1.217353,0.375597
WT,1.047656,0.465906
WT,0.979070,0.303043
WT,1.152280,0.351436
WT,0.878781,0.460562
WT,1.002093,-0.019213
WT,0.740368,0.052125
WT,1.271761,-0.004552
WT,1.092079,0.294681
WT,1.181618,-0.021465
WT,1.073214,0.503606
WT,1.091209,0.126675
WT,1.032160,0.285796
WT,1.065602,0.162713
WT,0.879798,0.412461
WT,0.863214,0.393328
WT,0.931559,0.338626
WT,0.983379,0.208970
WT,1.033710,0.059092
WT,1.197455,0.122036
WT,0.997720,-0.174223
WT,0.969195,0.061090
WT,1.180790,0.157275
WT,1.194219,0.296698
WT,1.212022,0.361775
WT,1.186680,0.047103
WT,1.265739,0.534422
WT,1.361470,0.118240
WT,1.061306,0.190449
WT,1.029629,0.091207
WT,1.335019,0.335600
WT,1.046821,0.216704
WT,1.048513,0.096333
WT,1.196003,0.443165
WT,1.330954,0.164186
WT,1.280176,0.150323
WT,1.101728,0.241964
WT,1.150867,0.226319
WT,0.992673,0.216816
WT,1.317403,0.089291
WT,1.218662,0.151363
WT,0.964590,-0.004526
WT,1.125704,-0.023733
WT,1.175711,0.007223
WT,1.047304,0.175998
WT,1.184022,0.064258
WT,1.242951,-0.456425
WT,1.303810,0.063462
WT,1.171481,0.064992
WT,1.130254,0.018415
WT,1.026222,0.028032
WT,1.181542,-0.211918
WT,0.793410,0.013895
WT,1.074105,0.328508
WT,0.993289,0.089024
WT,1.060378,0.066506
WT,1.134852,0.329361
WT,1.296638,0.088426
WT,1.081176,0.183829
WT,1.102617,0.116356
WT,1.069359,-0.023000
WT,1.205546,-0.032923
WT,0.848792,0.235195
WT,1.079268,0.023871
WT,1.115114,0.058258
WT,1.069758,0.410604
WT,0.744380,-0.180949
WT,1.063114,-0.204415
WT,1.107962,-0.004807
WT,1.259504,0.298167
WT,1.149371,0.203060
WT,1.180512,0.215631
WT,1.346608,0.229995
WT,1.365432,0.067898
WT,1.245169,-0.017006
WT,1.184706,0.129302
WT,0.989655,0.186435
WT,1.207007,0.336958
WT,0.938388,0.212093
WT,1.328947,0.052645
WT,1.053592,0.165881
WT,1.074487,-0.212976
WT,0.973045,0.397488
WT,1.269634,-0.056339
WT,1.011557,0.002307
WT,1.027030,0.017254
WT,1.242375,-0.108305
WT,0.796643,0.204732
WT,1.007332,0.437067
WT,1.034787,0.254622
WT,1.006247,0.575858
WT,0.838816,0.065402
WT,0.681716,0.242093
WT,0.977850,0.303934
