Time_ns,WT,D111A,T110A_D111A,T60A_S63A
52.400000,0.357551,0.372464,2.850103,0.327427
52.500000,0.276212,0.368698,2.918858,0.367533
52.600000,0.391487,0.402037,2.908671,0.369274
52.700000,0.443103,0.368697,2.917815,0.357642
52.800000,0.420049,0.432052,0.738873,0.342722
52.900000,0.381269,0.348034,2.928467,0.392104
53.000000,0.460243,0.321694,0.829137,0.341285
53.100000,0.376503,0.282782,0.789123,0.312171
53.200000,0.436012,0.294032,0.818925,0.287444
53.300000,0.475010,0.257611,0.756532,0.320464
53.400000,0.439783,0.261116,0.807490,0.357040
53.500000,0.481451,0.265035,2.837803,0.334295
53.600000,0.450177,0.259681,2.815271,0.341467
53.700000,0.464754,0.312352,2.763053,0.342133
53.800000,0.414287,0.318993,2.753273,0.319167
53.900000,0.482148,0.285629,2.702688,0.335777
54.000000,0.411771,0.322815,2.727805,0.291117
54.100000,0.459399,0.274358,2.728913,0.321178
54.200000,0.488175,0.310816,2.742472,0.282954
54.300000,0.454180,0.321215,2.723070,0.279604
54.400000,0.526578,0.269853,2.752449,0.300296
54.500000,0.514547,0.296407,2.759246,0.318455
54.600000,0.510848,0.306305,2.731277,0.376055
54.700000,0.534532,0.289463,2.731179,0.383641
54.800000,0.528135,0.307331,2.742858,0.392267
54.900000,0.527254,0.340461,2.718216,0.386194
55.000000,0.493607,0.302512,2.717791,0.305115
55.100000,0.529724,0.301583,2.685404,0.316862
55.200000,0.474705,0.341362,2.671200,0.357721
55.300000,0.482982,0.300271,2.660951,0.356185
